References,Reaction,Year
"Article; Smith; Showell; Journal of Organic Chemistry; vol. 17; (1952); p. 836;; ; Article; Nowikow et al.; Doklady Akademii Nauk SSSR; vol. 118; (1958); p. 954; Doklady Chemistry; 118-123&lt;1958&gt;151;; ; Article; Koslow; Fink; Metodiceskij sbornik; Nr.19/20&lt;1954/55&gt;49,50; Chem.Abstr.; (1957); p. 11267;",CC(=O)/C=C/c1ccccc1.CC[N+](=O)[O-]>>CC(=O)CC(c1ccccc1)C(C)[N+](=O)[O-],1952
"Article; Moffett; White; Journal of Organic Chemistry; vol. 17; (1952); p. 407,412;; ; Article; Shechter et al.; Journal of the American Chemical Society; vol. 74; (1952); p. 3664,3666,3667;",C=CC(C)=O.CC(C)[N+](=O)[O-]>>CC(=O)CCC(C)(C)[N+](=O)[O-],1952
"Article; Fuson; Miller; Journal of Organic Chemistry; vol. 17; (1952); p. 886,889;",C=CC#N.CC(C#N)c1ccccc1>>CC(C#N)(CCC#N)c1ccccc1,1952
"Article; Nightingale et al.; Journal of Organic Chemistry; vol. 17; (1952); p. 1005,1007;",CC1=CC(=O)CCC1.C[N+](=O)[O-]>>CC1(C[N+](=O)[O-])CCCC(=O)C1,1952
"Article; Perekalin; Sopowa; Zhurnal Obshchei Khimii; vol. 24; (1954); p. 513,515; engl. Ausg. S. 523, 525;",CC(=O)CC(C)=O.O=[N+]([O-])C=Cc1ccccc1>>CC(=O)C(C(C)=O)C(C[N+](=O)[O-])c1ccccc1,1954
"Article; Nasarow; Saw'jalow; Zhurnal Obshchei Khimii; vol. 24; (1954); p. 469,472; engl. Ausg. S. 479, 481;",C=CC#N.CC1C(=O)CCCC1=O>>CC1(CCC#N)C(=O)CCCC1=O,1954
"Article; Dreiding; Tomasewski; Journal of the American Chemical Society; vol. 77; (1955); p. 411,412;",C=CC(C)=O.CCOC(=O)C1CCCCC1=O>>CCOC(=O)C1(CCC(C)=O)CCCCC1=O,1955
"Article; Plieninger; Suehiro; Chemische Berichte; vol. 89; (1956); p. 2789,2793;",C=CC(C)=O.CCOC(=O)C(C)C(C)=O>>CCOC(=O)C(C)(CCC(C)=O)C(C)=O,1956
"Article; Bergmann; Corett; Journal of Organic Chemistry; vol. 21; (1956); p. 107,110; Journal of Organic Chemistry; vol. 23; (1958); p. 1507;",C=CC(C)=O.CCOC(=O)CC(=O)OCC>>CCOC(=O)C(CCC(C)=O)C(=O)OCC,1956
"Article; Bergmann; Corett; Journal of Organic Chemistry; vol. 21; (1956); p. 107,110; Journal of Organic Chemistry; vol. 23; (1958); p. 1507;",C=CC#N.CC(=O)CC(C)=O>>CC(=O)C(CCC#N)C(C)=O,1956
"Article; Koslow; Fink; Metodiceskij sbornik; 21; (1956); p. 163,165; Chem.Abstr.; (1957); p. 11983;",CC(=O)C=Cc1ccco1.C[N+](=O)[O-]>>CC(=O)CC(C[N+](=O)[O-])c1ccco1,1956
"Article; Bohlmann; Rahtz; Chemische Berichte; vol. 90; (1957); p. 2265,2270;",C#CC(C)=O.CCOC(=O)C=C(C)N>>CCOC(=O)C(/C=C/C(C)=O)=C(/C)N,1957
"Article; Dev; Rai; Journal of the Indian Chemical Society; vol. 34; (1957); p. 266,273;",C=CC(=O)OCC.CCOC(=O)C1CCCCC1=O>>CCOC(=O)CCC1(C(=O)OCC)CCCCC1=O,1957
Article; Hill; Journal of Organic Chemistry; vol. 22; (1957); p. 830;,C=CC(=O)OC.O=[N+]([O-])C1CCCC1>>COC(=O)CCC1([N+](=O)[O-])CCCC1,1957
"Article; Dev; Rai; Journal of the Indian Chemical Society; vol. 34; (1957); p. 266,273;",C=CC(=O)OCC.CCOC(=O)C1CCCC1=O>>CCOC(=O)CCC1(C(=O)OCC)CCCC1=O,1957
"Article; Koslow; Fink; Metodiceskij sbornik; Nr.19/20&lt;1954/55&gt;49,54; Chem.Abstr.; (1957); p. 11267;",CC(=O)C=C(C)C.CC(C)[N+](=O)[O-]>>CC(=O)CC(C)(C)C(C)(C)[N+](=O)[O-],1957
"Article; Moffett; Journal of the American Chemical Society; vol. 79; (1957); p. 3186,3190;; ; Article; v.Schickh; Angewandte Chemie; vol. 62; (1950); p. 547,554;",C=CC(=O)OC.O=[N+]([O-])C1CCCCC1>>COC(=O)CCC1([N+](=O)[O-])CCCCC1,1957
"Article; Davey; Tivey; Journal of the Chemical Society; (1958); p. 2606,2608;",COC(=O)CC#N.O=C(/C=C/c1ccccc1)c1ccccc1>>COC(=O)C(C#N)C(CC(=O)c1ccccc1)c1ccccc1,1958
