References,Reaction,Year
"Article; Blay, Gonzalo; Incerti, Celia; Munoz, M. Carmen; Pedro, Jose R.; European Journal of Organic Chemistry; 9; (2013); p. 1696 - 1705;",C[N+](=O)[O-].O=C(/C=C/c1cccc(Cl)c1)c1ccccn1>>O=C(CC(C[N+](=O)[O-])c1cccc(Cl)c1)c1ccccn1,2013
"Article; Chowdhury, Raghunath; Ghosh, Sunil K.; European Journal of Organic Chemistry; 27; (2013); p. 6167 - 6174;",COC(=O)C(=C/C=C/c1ccccc1)C(=O)OC.O=C1CCCCC1>>COC(=O)C(C(=O)OC)C(/C=C/c1ccccc1)C1CCCCC1=O,2013
"Article; Wang, Zhen; Zhang, Zuliang; Yao, Qian; Liu, Xiaohua; Cai, Yunfei; Lin, Lili; Feng, Xiaoming; Chemistry - A European Journal; vol. 19; 26; (2013); p. 8591 - 8596;",C#CC(=O)c1ccc(F)cc1.Cc1ccc2c(c1)C(c1ccccc1)C(=O)N2>>Cc1ccc2c(c1)[C@](/C=C\C(=O)c1ccc(F)cc1)(c1ccccc1)C(=O)N2,2013
"Article; Chowdhury, Raghunath; Ghosh, Sunil K.; European Journal of Organic Chemistry; 27; (2013); p. 6167 - 6174;",COC(=O)C(=C/C=C/c1ccc([N+](=O)[O-])cc1)C(=O)OC.O=C1CCOCC1>>COC(=O)C(C(=O)OC)C(/C=C/c1ccc([N+](=O)[O-])cc1)C1COCCC1=O,2013
"Article; Chowdhury, Raghunath; Ghosh, Sunil K.; European Journal of Organic Chemistry; 27; (2013); p. 6167 - 6174;",CC(C)=O.COC(=O)C(=C/C=C/c1ccc([N+](=O)[O-])cc1)C(=O)OC>>COC(=O)C(C(=O)OC)C(/C=C/c1ccc([N+](=O)[O-])cc1)CC(C)=O,2013
"Article; Chowdhury, Raghunath; Ghosh, Sunil K.; European Journal of Organic Chemistry; 27; (2013); p. 6167 - 6174;",COC(=O)C(=C/C=C/c1ccc([N+](=O)[O-])cc1)C(=O)OC.O=C1CCCCC1>>COC(=O)C(C(=O)OC)C(/C=C/c1ccc([N+](=O)[O-])cc1)C1CCCCC1=O,2013
"Article; Chen, Xiao-Yang; Chen, Guo-Jun; Wang, Jun-Liang; Wu, Qi; Lin, Xian-Fu; Advanced Synthesis and Catalysis; vol. 355; 5; (2013); p. 864 - 868;",COc1ccc(C=C[N+](=O)[O-])cc1.O=C1CCCCC1>>COc1ccc(C(C[N+](=O)[O-])C2CCCCC2=O)cc1,2013
"Article; Chen, Xiao-Yang; Chen, Guo-Jun; Wang, Jun-Liang; Wu, Qi; Lin, Xian-Fu; Advanced Synthesis and Catalysis; vol. 355; 5; (2013); p. 864 - 868;",O=C1CCCCC1.O=[N+]([O-])C=Cc1ccc([N+](=O)[O-])cc1>>O=C1CCCCC1C(C[N+](=O)[O-])c1ccc([N+](=O)[O-])cc1,2013
"Article; Wang, Qi; Huan, Feng; Shen, Haiming; Xiao, Ji-Chang; Gao, Min; Yang, Xianjin; Murahashi, Shun-Ichi; Chen, Qing-Yun; Guo, Yong; Journal of Organic Chemistry; vol. 78; 24; (2013); p. 12525 - 12531;",C=CC(=O)c1ccc([N+](=O)[O-])cc1.COC(=O)C(C(F)(F)F)C(F)(F)F>>COC(=O)C(CCC(=O)c1ccc([N+](=O)[O-])cc1)(C(F)(F)F)C(F)(F)F,2013
"Article; Halimehjani, Azim Ziyaei; Karimi, Nafiseh; Saidi, Mohammad R.; Synthetic Communications; vol. 43; 5; (2013); p. 744 - 748;",COc1ccccc1C=C[N+](=O)[O-].O=C1c2ccccc2Cc2ccccc21>>COc1ccccc1C(C[N+](=O)[O-])C1c2ccccc2C(=O)c2ccccc21,2013
"Article; Li, Tengfei; Zhu, Jin; Wu, Deyan; Li, Xiangmin; Wang, Sinan; Li, Hao; Li, Jian; Wang, Wei; Chemistry - A European Journal; vol. 19; 28; (2013); p. 9147 - 9150;",Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-].O=C/C=C/c1cccc(F)c1>>O=CC[C@H](Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])c1cccc(F)c1,2013
"Article; Li, Tengfei; Zhu, Jin; Wu, Deyan; Li, Xiangmin; Wang, Sinan; Li, Hao; Li, Jian; Wang, Wei; Chemistry - A European Journal; vol. 19; 28; (2013); p. 9147 - 9150;",Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-].O=C/C=C/c1ccc(F)cc1>>O=CC[C@H](Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])c1ccc(F)cc1,2013
"Article; Moirangthem, Nimalini; Thingom, Bhavna; Moirangthem, Soniya D; Laitonjam, Warjeet S; Indian Journal of Chemistry - Section B Organic and Medicinal Chemistry; vol. 52; 7; (2013); p. 937 - 941;",CCCC(C)=O.CCOC(=O)C(C#N)=Cc1ccccc1>>CCOC(=O)C(C#N)C(c1ccccc1)C(CC)C(C)=O,2013
"Article; Wang, Qi; Huan, Feng; Shen, Haiming; Xiao, Ji-Chang; Gao, Min; Yang, Xianjin; Murahashi, Shun-Ichi; Chen, Qing-Yun; Guo, Yong; Journal of Organic Chemistry; vol. 78; 24; (2013); p. 12525 - 12531;",C=CC(=O)c1cccs1.COC(=O)C(C(F)(F)F)C(F)(F)F>>COC(=O)C(CCC(=O)c1cccs1)(C(F)(F)F)C(F)(F)F,2013
"Article; Moirangthem, Nimalini; Thingom, Bhavna; Moirangthem, Soniya D; Laitonjam, Warjeet S; Indian Journal of Chemistry - Section B Organic and Medicinal Chemistry; vol. 52; 7; (2013); p. 937 - 941;",CC(=O)CC(=O)c1ccccc1.N#CC(C#N)=Cc1ccccc1>>CC(=O)C(C(=O)c1ccccc1)C(c1ccccc1)C(C#N)C#N,2013
"Article; Moirangthem, Nimalini; Thingom, Bhavna; Moirangthem, Soniya D; Laitonjam, Warjeet S; Indian Journal of Chemistry - Section B Organic and Medicinal Chemistry; vol. 52; 7; (2013); p. 937 - 941;",CCC(=O)CC.N#CC(C#N)=Cc1ccccc1>>CCC(=O)C(C)C(c1ccccc1)C(C#N)C#N,2013
"Article; Moirangthem, Nimalini; Thingom, Bhavna; Moirangthem, Soniya D; Laitonjam, Warjeet S; Indian Journal of Chemistry - Section B Organic and Medicinal Chemistry; vol. 52; 7; (2013); p. 937 - 941;",CC(=O)CC(C)=O.N#CC(=Cc1ccccc1)C(N)=O>>CC(=O)C(C(C)=O)C(c1ccccc1)C(C#N)C(N)=O,2013
"Article; Wang, Zhen; Zhang, Zuliang; Yao, Qian; Liu, Xiaohua; Cai, Yunfei; Lin, Lili; Feng, Xiaoming; Chemistry - A European Journal; vol. 19; 26; (2013); p. 8591 - 8596;",C#CC(=O)c1ccc(C(F)(F)F)cc1.Cc1ccc2c(c1)C(c1ccccc1)C(=O)N2>>Cc1ccc2c(c1)[C@](/C=C\C(=O)c1ccc(C(F)(F)F)cc1)(c1ccccc1)C(=O)N2,2013
"Article; Wang, Qi; Huan, Feng; Shen, Haiming; Xiao, Ji-Chang; Gao, Min; Yang, Xianjin; Murahashi, Shun-Ichi; Chen, Qing-Yun; Guo, Yong; Journal of Organic Chemistry; vol. 78; 24; (2013); p. 12525 - 12531;",C=CC(=O)CC.COC(=O)C(C(F)(F)F)C(F)(F)F>>CCC(=O)CCC(C(=O)OC)(C(F)(F)F)C(F)(F)F,2013
"Article; Li, Tengfei; Zhu, Jin; Wu, Deyan; Li, Xiangmin; Wang, Sinan; Li, Hao; Li, Jian; Wang, Wei; Chemistry - A European Journal; vol. 19; 28; (2013); p. 9147 - 9150;",Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-].O=C/C=C/c1ccccc1[N+](=O)[O-]>>O=CC[C@H](Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])c1ccccc1[N+](=O)[O-],2013
"Article; Wang, Zhen; Zhang, Zuliang; Yao, Qian; Liu, Xiaohua; Cai, Yunfei; Lin, Lili; Feng, Xiaoming; Chemistry - A European Journal; vol. 19; 26; (2013); p. 8591 - 8596;",C#CC(=O)c1ccc(OC)cc1.Cc1ccc2c(c1)C(c1ccccc1)C(=O)N2>>COc1ccc(C(=O)/C=C\[C@@]2(c3ccccc3)C(=O)Nc3ccc(C)cc32)cc1,2013
"Article; Wang, Zhen; Zhang, Zuliang; Yao, Qian; Liu, Xiaohua; Cai, Yunfei; Lin, Lili; Feng, Xiaoming; Chemistry - A European Journal; vol. 19; 26; (2013); p. 8591 - 8596;",C#CC(=O)c1ccc2c(c1)OCO2.Cc1ccc2c(c1)C(c1ccccc1)C(=O)N2>>Cc1ccc2c(c1)[C@](/C=C\C(=O)c1ccc3c(c1)OCO3)(c1ccccc1)C(=O)N2,2013
"Article; Wang, Zhen; Zhang, Zuliang; Yao, Qian; Liu, Xiaohua; Cai, Yunfei; Lin, Lili; Feng, Xiaoming; Chemistry - A European Journal; vol. 19; 26; (2013); p. 8591 - 8596;",C#CC(=O)c1ccc2ccccc2c1.Cc1ccc2c(c1)C(c1ccccc1)C(=O)N2>>Cc1ccc2c(c1)[C@](/C=C\C(=O)c1ccc3ccccc3c1)(c1ccccc1)C(=O)N2,2013
"Article; Wang, Qi; Huan, Feng; Shen, Haiming; Xiao, Ji-Chang; Gao, Min; Yang, Xianjin; Murahashi, Shun-Ichi; Chen, Qing-Yun; Guo, Yong; Journal of Organic Chemistry; vol. 78; 24; (2013); p. 12525 - 12531;",C=CC(=O)CCCCC.COC(=O)C(C(F)(F)F)C(F)(F)F>>CCCCCC(=O)CCC(C(=O)OC)(C(F)(F)F)C(F)(F)F,2013
"Article; Wang, Zhen; Zhang, Zuliang; Yao, Qian; Liu, Xiaohua; Cai, Yunfei; Lin, Lili; Feng, Xiaoming; Chemistry - A European Journal; vol. 19; 26; (2013); p. 8591 - 8596;",C#CC(=O)CCCCC.Cc1ccc2c(c1)C(c1ccccc1)C(=O)N2>>CCCCCC(=O)/C=C\[C@@]1(c2ccccc2)C(=O)Nc2ccc(C)cc21,2013
"Article; Wang, Zhen; Zhang, Zuliang; Yao, Qian; Liu, Xiaohua; Cai, Yunfei; Lin, Lili; Feng, Xiaoming; Chemistry - A European Journal; vol. 19; 26; (2013); p. 8591 - 8596;",C#CC(=O)OCC.Cc1ccc2c(c1)C(c1ccccc1)C(=O)N2>>CCOC(=O)/C=C\[C@@]1(c2ccccc2)C(=O)Nc2ccc(C)cc21,2013
"Article; Wang, Zhen; Zhang, Zuliang; Yao, Qian; Liu, Xiaohua; Cai, Yunfei; Lin, Lili; Feng, Xiaoming; Chemistry - A European Journal; vol. 19; 26; (2013); p. 8591 - 8596;",COC(=O)C#CC(=O)OC.Cc1ccc2c(c1)C(c1ccccc1)C(=O)N2>>COC(=O)/C=C(/C(=O)OC)[C@@]1(c2ccccc2)C(=O)Nc2ccc(C)cc21,2013
"Article; Wang, Zhen; Zhang, Zuliang; Yao, Qian; Liu, Xiaohua; Cai, Yunfei; Lin, Lili; Feng, Xiaoming; Chemistry - A European Journal; vol. 19; 26; (2013); p. 8591 - 8596;",C#CC(=O)OCC.O=C1Nc2ccc(Cl)cc2C1c1ccccc1>>CCOC(=O)/C=C\[C@@]1(c2ccccc2)C(=O)Nc2ccc(Cl)cc21,2013
"Article; Wang, Zhen; Zhang, Zuliang; Yao, Qian; Liu, Xiaohua; Cai, Yunfei; Lin, Lili; Feng, Xiaoming; Chemistry - A European Journal; vol. 19; 26; (2013); p. 8591 - 8596;",C#CC(=O)OCC.O=C1Nc2ccccc2C1c1ccc(F)cc1>>CCOC(=O)/C=C\[C@@]1(c2ccc(F)cc2)C(=O)Nc2ccccc21,2013
"Article; Wang, Zhen; Zhang, Zuliang; Yao, Qian; Liu, Xiaohua; Cai, Yunfei; Lin, Lili; Feng, Xiaoming; Chemistry - A European Journal; vol. 19; 26; (2013); p. 8591 - 8596;",C#CC(=O)OCC.O=C1Nc2ccccc2C1Cc1ccccc1>>CCOC(=O)/C=C\[C@@]1(Cc2ccccc2)C(=O)Nc2ccccc21,2013
"Article; Wang, Zhen; Zhang, Zuliang; Yao, Qian; Liu, Xiaohua; Cai, Yunfei; Lin, Lili; Feng, Xiaoming; Chemistry - A European Journal; vol. 19; 26; (2013); p. 8591 - 8596;",C#CC(=O)OCC.O=C1Nc2ccccc2C1c1ccc2ccccc2c1>>CCOC(=O)/C=C\[C@@]1(c2ccc3ccccc3c2)C(=O)Nc2ccccc21,2013
"Article; Durmaz, Mustafa; Sirit, Abdulkadir; Tetrahedron Asymmetry; vol. 24; 23; (2013); p. 1443 - 1448;",O=C1C=CC(=O)N1c1ccc(Cl)cc1.O=CC1CCCC1>>O=CC1([C@@H]2CC(=O)N(c3ccc(Cl)cc3)C2=O)CCCC1,2013
"Article; Liu, Bin; Han, Xin; Dong, Ze; Lv, Hao; Zhou, Hai-Bing; Dong, Chune; Tetrahedron Asymmetry; vol. 24; 20; (2013); p. 1276 - 1280;",CCOC(=O)C1CCCC1=O.O=[N+]([O-])/C=C/c1ccc(Cl)cc1Cl>>CCOC(=O)C1(C(C[N+](=O)[O-])c2ccc(Cl)cc2Cl)CCCC1=O,2013
"Article; Liu, Bin; Han, Xin; Dong, Ze; Lv, Hao; Zhou, Hai-Bing; Dong, Chune; Tetrahedron Asymmetry; vol. 24; 20; (2013); p. 1276 - 1280;",COc1ccc(/C=C/[N+](=O)[O-])cc1.O=C(CC(=O)c1ccccc1)c1ccccc1>>COc1ccc([C@@H](C[N+](=O)[O-])C(C(=O)c2ccccc2)C(=O)c2ccccc2)cc1,2013
"Article; Liu, Bin; Han, Xin; Dong, Ze; Lv, Hao; Zhou, Hai-Bing; Dong, Chune; Tetrahedron Asymmetry; vol. 24; 20; (2013); p. 1276 - 1280;",O=C(CC(=O)c1ccccc1)c1ccccc1.O=[N+]([O-])/C=C/c1ccco1>>O=C(c1ccccc1)C(C(=O)c1ccccc1)[C@H](C[N+](=O)[O-])c1ccco1,2013
"Article; Liu, Bin; Han, Xin; Dong, Ze; Lv, Hao; Zhou, Hai-Bing; Dong, Chune; Tetrahedron Asymmetry; vol. 24; 20; (2013); p. 1276 - 1280;",CCOC(=O)C1CCCC1=O.O=[N+]([O-])/C=C/c1ccc(C(F)(F)F)cc1>>CCOC(=O)C1(C(C[N+](=O)[O-])c2ccc(C(F)(F)F)cc2)CCCC1=O,2013
"Article; Zheng, Bo; Wang, Hui; Han, Yong; Liu, Changlu; Peng, Yungui; Chemical Communications; vol. 49; 40; (2013); p. 4561 - 4563;",C=C(Cc1ccccc1)[N+](=O)[O-].CCCCCC=O>>CCCCC(C=O)CC(Cc1ccccc1)[N+](=O)[O-],2013
"Article; Zheng, Bo; Wang, Hui; Han, Yong; Liu, Changlu; Peng, Yungui; Chemical Communications; vol. 49; 40; (2013); p. 4561 - 4563;",C=C(Cc1ccccc1)[N+](=O)[O-].CCCCCCC=O>>CCCCCC(C=O)CC(Cc1ccccc1)[N+](=O)[O-],2013
"Article; Zheng, Bo; Wang, Hui; Han, Yong; Liu, Changlu; Peng, Yungui; Chemical Communications; vol. 49; 40; (2013); p. 4561 - 4563;",C=C(CO[Si](C)(C)C(C)(C)C)[N+](=O)[O-].CCCCC=O>>CCCC(C=O)CC(CO[Si](C)(C)C(C)(C)C)[N+](=O)[O-],2013
"Article; Zheng, Bo; Wang, Hui; Han, Yong; Liu, Changlu; Peng, Yungui; Chemical Communications; vol. 49; 40; (2013); p. 4561 - 4563;",C=C(Cc1ccccc1)[N+](=O)[O-].CCCCCCCC=O>>CCCCCCC(C=O)CC(Cc1ccccc1)[N+](=O)[O-],2013
"Article; Wang, Qi; Huan, Feng; Shen, Haiming; Xiao, Ji-Chang; Gao, Min; Yang, Xianjin; Murahashi, Shun-Ichi; Chen, Qing-Yun; Guo, Yong; Journal of Organic Chemistry; vol. 78; 24; (2013); p. 12525 - 12531;",C=CC(=O)c1ccc2ccccc2c1.COC(=O)C(C(=O)OC)C(F)(F)F>>COC(=O)C(CCC(=O)c1ccc2ccccc2c1)(C(=O)OC)C(F)(F)F,2013
"Article; Zheng, Bo; Wang, Hui; Han, Yong; Liu, Changlu; Peng, Yungui; Chemical Communications; vol. 49; 40; (2013); p. 4561 - 4563;",C=C(Cc1ccccc1)[N+](=O)[O-].CCCCCCCCC=O>>CCCCCCCC(C=O)CC(Cc1ccccc1)[N+](=O)[O-],2013
"Article; Wang, Qi; Huan, Feng; Shen, Haiming; Xiao, Ji-Chang; Gao, Min; Yang, Xianjin; Murahashi, Shun-Ichi; Chen, Qing-Yun; Guo, Yong; Journal of Organic Chemistry; vol. 78; 24; (2013); p. 12525 - 12531;",C=CC(=O)c1cccc([N+](=O)[O-])c1.COC(=O)C(C(=O)OC)C(F)(F)F>>COC(=O)C(CCC(=O)c1cccc([N+](=O)[O-])c1)(C(=O)OC)C(F)(F)F,2013
"Article; Wang, Qi; Huan, Feng; Shen, Haiming; Xiao, Ji-Chang; Gao, Min; Yang, Xianjin; Murahashi, Shun-Ichi; Chen, Qing-Yun; Guo, Yong; Journal of Organic Chemistry; vol. 78; 24; (2013); p. 12525 - 12531;",C=CC(=O)c1ccc2ccccc2c1.COC(=O)C(C(F)(F)F)C(F)(F)F>>COC(=O)C(CCC(=O)c1ccc2ccccc2c1)(C(F)(F)F)C(F)(F)F,2013
"Article; Wang, Qi; Huan, Feng; Shen, Haiming; Xiao, Ji-Chang; Gao, Min; Yang, Xianjin; Murahashi, Shun-Ichi; Chen, Qing-Yun; Guo, Yong; Journal of Organic Chemistry; vol. 78; 24; (2013); p. 12525 - 12531;",C=CC(=O)c1cccc(OC)c1.COC(=O)C(C(F)(F)F)C(F)(F)F>>COC(=O)C(CCC(=O)c1cccc(OC)c1)(C(F)(F)F)C(F)(F)F,2013
"Article; Zheng, Bo; Wang, Hui; Han, Yong; Liu, Changlu; Peng, Yungui; Chemical Communications; vol. 49; 40; (2013); p. 4561 - 4563;",C=C(Cc1ccccc1)[N+](=O)[O-].CCCCCCCCCC=O>>CCCCCCCCC(C=O)CC(Cc1ccccc1)[N+](=O)[O-],2013
"Article; Zheng, Bo; Wang, Hui; Han, Yong; Liu, Changlu; Peng, Yungui; Chemical Communications; vol. 49; 40; (2013); p. 4561 - 4563;",C=C(CO[Si](C)(C)C(C)(C)C)[N+](=O)[O-].O=CCCc1ccccc1>>CC(C)(C)[Si](C)(C)OCC(CC(C=O)Cc1ccccc1)[N+](=O)[O-],2013
"Article; Miao, Chun-Bao; Dong, Chun-Ping; Zhang, Min; Ren, Wen-Long; Meng, Qi; Sun, Xiao-Qiang; Yang, Hai-Tao; Journal of Organic Chemistry; vol. 78; 9; (2013); p. 4329 - 4340;",CC(=O)C=Cc1ccccc1.CCOC(=O)C(NC(=O)c1ccccc1)C(=O)OCC>>CCOC(=O)C(NC(=O)c1ccccc1)(C(=O)OCC)C(CC(C)=O)c1ccccc1,2013
"Article; Miao, Chun-Bao; Dong, Chun-Ping; Zhang, Min; Ren, Wen-Long; Meng, Qi; Sun, Xiao-Qiang; Yang, Hai-Tao; Journal of Organic Chemistry; vol. 78; 9; (2013); p. 4329 - 4340;",CC(C)(C)C=CC(=O)c1ccccc1.CCOC(=O)C(NC(=O)c1ccccc1)C(=O)OCC>>CCOC(=O)C(NC(=O)c1ccccc1)(C(=O)OCC)C(CC(=O)c1ccccc1)C(C)(C)C,2013
"Article; Durmaz, Mustafa; Sirit, Abdulkadir; Tetrahedron Asymmetry; vol. 24; 23; (2013); p. 1443 - 1448;",CCCC(C)C=O.O=C1C=CC(=O)N1c1ccccc1>>CCCC(C)(C=O)[C@@H]1CC(=O)N(c2ccccc2)C1=O,2013
"Article; Kamito, Yuji; Masuda, Akira; Yuasa, Hiroki; Tada, Norihiro; Itoh, Akichika; Koseki, Yuji; Miura, Tsuyoshi; Chemistry Letters; vol. 42; 10; (2013); p. 1151 - 1153;",CC(=O)/C=C/c1ccccc1.CCOC(=O)CC(=O)OCC>>CCOC(=O)C(C(=O)OCC)[C@@H](CC(C)=O)c1ccccc1,2013
"Article; Miao, Chun-Bao; Dong, Chun-Ping; Wang, Yan-Hong; Yang, Hai-Tao; Meng, Qi; Tu, Shu-Jiang; Sun, Xiao-Qiang; Heterocycles; vol. 87; 4; (2013); p. 853 - 859;",COC(=O)C(=Cc1cccc([N+](=O)[O-])c1)C(C)=O.COC(=O)CC(C)=O>>COC(=O)C(C(C)=O)C(c1cccc([N+](=O)[O-])c1)C(C(C)=O)C(=O)OC,2013
"Article; Miao, Chun-Bao; Dong, Chun-Ping; Wang, Yan-Hong; Yang, Hai-Tao; Meng, Qi; Tu, Shu-Jiang; Sun, Xiao-Qiang; Heterocycles; vol. 87; 4; (2013); p. 853 - 859;",CCOC(=O)CC(C)=O.COC(=O)C(=Cc1cccc([N+](=O)[O-])c1)C(C)=O>>CCOC(=O)C(C(C)=O)C(c1cccc([N+](=O)[O-])c1)C(C(C)=O)C(=O)OC,2013
"Article; Duce, Sara; Jorge, Maria; Alonso, Ines; Ruano, Jose Luis Garcia; Cid, M. Belen; European Journal of Organic Chemistry; 31; (2013); p. 7067 - 7075;",CCSC(=O)Cc1ccc([N+](=O)[O-])cc1.O=CC=Cc1ccccc1>>CCSC(=O)[C@H](c1ccc([N+](=O)[O-])cc1)[C@@H](CC=O)c1ccccc1,2013
"Article; Miao, Chun-Bao; Dong, Chun-Ping; Wang, Yan-Hong; Yang, Hai-Tao; Meng, Qi; Tu, Shu-Jiang; Sun, Xiao-Qiang; Heterocycles; vol. 87; 4; (2013); p. 853 - 859;",CC(=O)CC(=O)OC(C)C.COC(=O)C(=Cc1cccc([N+](=O)[O-])c1)C(C)=O>>COC(=O)C(C(C)=O)C(c1cccc([N+](=O)[O-])c1)C(C(C)=O)C(=O)OC(C)C,2013
"Article; Chen, Jian; Geng, Zhi-Cong; Li, Ning; Huang, Xiao-Fei; Pan, Feng-Feng; Wang, Xing-Wang; Journal of Organic Chemistry; vol. 78; 6; (2013); p. 2362 - 2372;",CCC=O.Cc1ccc(S(=O)(=O)n2cc(/C=C/[N+](=O)[O-])c3ccccc32)cc1>>Cc1ccc(S(=O)(=O)n2cc([C@H](C[N+](=O)[O-])[C@H](C)C=O)c3ccccc32)cc1,2013
"Article; Zheng, Bo; Wang, Hui; Han, Yong; Liu, Changlu; Peng, Yungui; Chemical Communications; vol. 49; 40; (2013); p. 4561 - 4563;",C=C(Cc1ccccc1)[N+](=O)[O-].CC(C)CC=O>>CC(C)C(C=O)CC(Cc1ccccc1)[N+](=O)[O-],2013
"Article; Zheng, Bo; Wang, Hui; Han, Yong; Liu, Changlu; Peng, Yungui; Chemical Communications; vol. 49; 40; (2013); p. 4561 - 4563;",C=C(Cc1ccc(OC)cc1)[N+](=O)[O-].CC(C)CC=O>>COc1ccc(C[C@@H](C[C@H](C=O)C(C)C)[N+](=O)[O-])cc1,2013
"Article; Zheng, Bo; Wang, Hui; Han, Yong; Liu, Changlu; Peng, Yungui; Chemical Communications; vol. 49; 40; (2013); p. 4561 - 4563;",C=C(Cc1ccc(OC)cc1)[N+](=O)[O-].CC(C)CC=O>>COc1ccc(CC(CC(C=O)C(C)C)[N+](=O)[O-])cc1,2013
"Article; Zheng, Bo; Wang, Hui; Han, Yong; Liu, Changlu; Peng, Yungui; Chemical Communications; vol. 49; 40; (2013); p. 4561 - 4563;",C=C(Cc1ccccc1Cl)[N+](=O)[O-].CC(C)CC=O>>CC(C)C(C=O)CC(Cc1ccccc1Cl)[N+](=O)[O-],2013
"Article; Zheng, Bo; Wang, Hui; Han, Yong; Liu, Changlu; Peng, Yungui; Chemical Communications; vol. 49; 40; (2013); p. 4561 - 4563;",C=C(Cc1cccc(Cl)c1)[N+](=O)[O-].CC(C)CC=O>>CC(C)C(C=O)CC(Cc1cccc(Cl)c1)[N+](=O)[O-],2013
"Article; Zheng, Bo; Wang, Hui; Han, Yong; Liu, Changlu; Peng, Yungui; Chemical Communications; vol. 49; 40; (2013); p. 4561 - 4563;",C=C(Cc1ccccc1Br)[N+](=O)[O-].CC(C)CC=O>>CC(C)C(C=O)CC(Cc1ccccc1Br)[N+](=O)[O-],2013
"Article; Kokotos, Christoforos G.; Organic Letters; vol. 15; 10; (2013); p. 2406 - 2409;",CC(C)C=O.CN1C(=O)C=CC1=O>>CN1C(=O)C[C@@H](C(C)(C)C=O)C1=O,2013
"Article; Zheng, Bo; Wang, Hui; Han, Yong; Liu, Changlu; Peng, Yungui; Chemical Communications; vol. 49; 40; (2013); p. 4561 - 4563;",C=C(C)[N+](=O)[O-].CC(C)CC=O>>CC(C)C(C=O)CC(C)[N+](=O)[O-],2013
"Article; Zheng, Bo; Wang, Hui; Han, Yong; Liu, Changlu; Peng, Yungui; Chemical Communications; vol. 49; 40; (2013); p. 4561 - 4563;",C=C(CO[Si](C)(C)C(C)(C)C)[N+](=O)[O-].CC(C)CC=O>>CC(C)C(C=O)CC(CO[Si](C)(C)C(C)(C)C)[N+](=O)[O-],2013
"Article; Zheng, Bo; Wang, Hui; Han, Yong; Liu, Changlu; Peng, Yungui; Chemical Communications; vol. 49; 40; (2013); p. 4561 - 4563;",C=C(Cc1ccccc1)[N+](=O)[O-].CCCC=O>>CCC(C=O)CC(Cc1ccccc1)[N+](=O)[O-],2013
"Article; Mase, Nobuyuki; Takabe, Kunihiko; Tanaka, Fujie; Tetrahedron Letters; vol. 54; 32; (2013); p. 4306 - 4308;",CC(C)=O.O=[N+]([O-])C=Cc1c2ccccc2cc2ccccc12>>CC(=O)CC(C[N+](=O)[O-])c1c2ccccc2cc2ccccc12,2013
"Article; Kamito, Yuji; Masuda, Akira; Yuasa, Hiroki; Tada, Norihiro; Itoh, Akichika; Koseki, Yuji; Miura, Tsuyoshi; Chemistry Letters; vol. 42; 10; (2013); p. 1151 - 1153;",CC(=O)/C=C/c1ccccc1.COC(=O)CC(=O)OC>>COC(=O)C(C(=O)OC)[C@@H](CC(C)=O)c1ccccc1,2013
"Article; Zheng, Bo; Wang, Hui; Han, Yong; Liu, Changlu; Peng, Yungui; Chemical Communications; vol. 49; 40; (2013); p. 4561 - 4563;",C=C(Cc1ccccc1)[N+](=O)[O-].CCCCC=O>>CCCC(C=O)CC(Cc1ccccc1)[N+](=O)[O-],2013
"Article; Reddy, B. V. Subba; Reddy, S. Madhusudana; Swain, Manisha; RSC Advances; vol. 3; 3; (2013); p. 930 - 936;",O=C1C=C(O)C(=O)c2ccccc21.O=[N+]([O-])C=Cc1ccccc1Br>>O=C1C(O)=C([C@H](C[N+](=O)[O-])c2ccccc2Br)C(=O)c2ccccc21,2013
"Article; Dou, Xiaowei; Yao, Weijun; Zhou, Bo; Lu, Yixin; Chemical Communications; vol. 49; 80; (2013); p. 9224 - 9226;",Cc1ccccc1C=C[N+](=O)[O-].O=C1Nc2ccccc2C1Cl>>Cc1ccccc1C(C[N+](=O)[O-])C1(Cl)C(=O)Nc2ccccc21,2013
"Article; Dou, Xiaowei; Yao, Weijun; Zhou, Bo; Lu, Yixin; Chemical Communications; vol. 49; 80; (2013); p. 9224 - 9226;",COc1ccc(C=C[N+](=O)[O-])cc1.O=C1Nc2ccccc2C1Cl>>COc1ccc(C(C[N+](=O)[O-])C2(Cl)C(=O)Nc3ccccc32)cc1,2013
"Article; Dou, Xiaowei; Yao, Weijun; Zhou, Bo; Lu, Yixin; Chemical Communications; vol. 49; 80; (2013); p. 9224 - 9226;",N#Cc1ccc(C=C[N+](=O)[O-])cc1.O=C1Nc2ccccc2C1Cl>>N#Cc1ccc(C(C[N+](=O)[O-])C2(Cl)C(=O)Nc3ccccc32)cc1,2013
